x1,x2
-0.028866382354207465,-0.041621840916532316
-0.02887361403619426,-0.041632175000067106
-0.028881519420519836,-0.041593091199781065
-0.028870038997130712,-0.04163123672539024
-0.028870583675611877,-0.041626133492986155
-0.028865404935510236,-0.04162572933775167
-0.02888358365673853,-0.04162713862330531
-0.028881785198801167,-0.04163984436088992
-0.02889159065324309,-0.0415951437541984
-0.02887168237235596,-0.04164312623654647
-0.028856236544303325,-0.04162603546271451
-0.028877319709326582,-0.04163551644498212
-0.028856095344160528,-0.04162788500347106
-0.02702822684322434,-0.04116272247016939
-0.028845251837984184,-0.04164501328151105
-0.02887533663602118,-0.041640769945703766
-0.028935942106897473,-0.04160107803986493
-0.028924900419206933,-0.041589238611125644
-0.028881972876972344,-0.04164347960672765
-0.02886363838143994,-0.04163075641714391
-0.028884706656620737,-0.04164315175883859
-0.028833104212787078,-0.04160112593753873
-0.028868133256245043,-0.04158353273215571
-0.029331969345529077,-0.04027160398928173
-0.028925483316503072,-0.04150607675910351
-0.028879200694023544,-0.041668411642335576
-0.028952062351598373,-0.04141901664930913
-0.02894390102282937,-0.04152558402469967
-0.028871515375636175,-0.041644430911601624
-0.028892068696268692,-0.04165075460484308
-0.028888740186124296,-0.041647605724150626
-0.028874861932779754,-0.04165021985379472
-0.02887744343751668,-0.04164053421606499
-0.028890227970388354,-0.041649193264957286
-0.028916154073079424,-0.04167521791679602
-0.027027370176672054,-0.04120741911811985
-0.028873614036194487,-0.041632175000066975
-0.02886792867822497,-0.041596618996407354
-0.028855461576244194,-0.041622990333973445
-0.028844148884425987,-0.04160115059854765
-0.028758128125602644,-0.04156151862969068
-0.028826702073803483,-0.041636627024229496
-0.028822003429228468,-0.041615131825974344
-0.02937939862834047,-0.04048970713838289
-0.028881039717117814,-0.041640657998600714
-0.02885829035596333,-0.04162405864410553
-0.028856597442828622,-0.041617002118399596
-0.028888948643837353,-0.04165354063259755
-0.02888503296716168,-0.0416443444734112
-0.029474143058695224,-0.04055914389671178
-0.029454951208893118,-0.040546434144430696
-0.029413714229046425,-0.040511527135503204
-0.02890391841845882,-0.0416552097496642
-0.029476504526698696,-0.04055710532421071
-0.028873614036194487,-0.041632175000066975
-0.027046587038179998,-0.04113819884692031
-0.027031646724129745,-0.041167422260728795
-0.028903752592495294,-0.04165856703239165
-0.02888456074269314,-0.04164585728011051
-0.028815258034970075,-0.041616387917996274
-0.028854196046054884,-0.041628090841743536
-0.028968336370008663,-0.041571199859897656
-0.028893649129309463,-0.04166721064281169
-0.028878893828047623,-0.04165202589493904
-0.028893452410017374,-0.04164639553764437
-0.02888603873017817,-0.041639722029205635
-0.02887400202820511,-0.041626751823766475
-0.028952941788008696,-0.041405863102684945
-0.028880389119612652,-0.04163933618001395
-0.02888093795386645,-0.04164067575828856
-0.02706044651570285,-0.04124661789081099
-0.02707565603534376,-0.041257467136331126
-0.027054131668485436,-0.041240176394644
-0.02887873632743455,-0.041634216354441055
-0.028888167301469335,-0.041628707102997514
-0.02882961665728223,-0.04164264452087159
-0.028837398506951512,-0.04162826460296909
-0.028815189297025996,-0.04161356241955713
-0.028803175950239023,-0.04162532281065392
-0.028875238076041525,-0.04164864825131781
-0.02887199857974006,-0.041630823447514405
-0.028862177809096227,-0.04160105179873505
-0.02884696227102447,-0.041595126348473864
-0.02883137174825974,-0.04157348765827857
-0.02881666435541436,-0.04155822011905313
-0.028886400394519045,-0.04160570927418377
-0.028884602669991502,-0.04164493791225537
-0.028899499058617006,-0.04158880917199322
-0.02888841730888386,-0.04157788797350311
-0.028864418601985617,-0.041603128716116856
-0.028921232809699254,-0.041584984753982965
-0.028915324429477994,-0.04167096847711413
-0.02890790478394773,-0.041664305441245955
-0.028899636835167365,-0.041654662741596286
-0.028548463429082793,-0.04148879058781198
-0.028566721560893998,-0.04149668687743861
-0.028888264690340365,-0.04164916136301008
-0.028880940163964777,-0.041640670793112206
-0.02888487109306126,-0.04164971302333805
-0.02888093911055576,-0.041640676309026806
-0.028866881379870632,-0.041625365767120774
-0.028870267914816474,-0.0416317993881304
-0.028888264690340365,-0.04164916136301008
-0.028880940163964777,-0.041640670793112206
-0.028694379371133737,-0.04149521332506219
-0.028870950798927396,-0.04163787954603052
-0.028389489955866754,-0.04070756135637244
-0.028590916490057433,-0.04159643819902518
-0.028892920352517126,-0.041661815464280376
-0.028888274349390668,-0.04164756286314044
-0.028870921604765398,-0.041629102678930476
-0.0294221228576655,-0.04049022785166383
-0.029419599116080136,-0.04048547474784039
-0.0293702978961651,-0.040434493144074365
-0.02888501809903119,-0.041636771588115636
-0.028880855531791417,-0.04150775507886926
-0.02890238748285603,-0.041533304326300445
-0.02725716358794116,-0.04047018501617283
-0.02886956500626838,-0.041624230570366155
-0.02886224581166013,-0.0416157269544755
-0.029329672244556893,-0.04049096919382545
-0.02933620254757114,-0.04049012483227334
-0.028876877698045037,-0.041614060493004174
-0.028887920966239686,-0.041647368761317596
-0.028868337820512836,-0.041626567843847974
-0.028875505246904055,-0.041560408442795856
-0.028901493831014015,-0.04156480025832037
-0.0271294469885335,-0.04115321982119842
-0.0289720282407888,-0.04163393442755749
-0.02895755976248422,-0.04162153711820757
-0.028895426311367583,-0.04165310859871711
-0.028674954939281946,-0.04154724554473116
-0.028902986784643557,-0.041662684794220854
-0.02888830200631184,-0.04164743511464138
-0.028814948295819074,-0.041445397424837646
-0.028879880807176156,-0.04147079263628463
-0.028863779130370398,-0.041625197557779964
-0.027115313909014612,-0.04100991103988529
-0.027101005263331004,-0.040994733260204606
-0.027079761249944184,-0.04097195354881733
-0.027109956298629192,-0.04098050500014808
-0.028918357754355046,-0.04166849568720154
-0.02891234684915013,-0.041666266539869344
-0.02888746039487091,-0.04165146514682842
-0.029351829926785783,-0.04044924268421267
-0.028824368262305083,-0.041616315909962266
-0.028861390135150697,-0.04164088355357869
-0.028839272416590032,-0.04161893570384359
-0.028868797111985367,-0.04164757575784375
-0.028897209329575943,-0.041550275743707975
-0.028858325147039593,-0.041618896980357166
-0.028830045889638164,-0.04158845158784992
-0.026810539792232264,-0.04117288665910294
-0.028639418981591946,-0.04156745133668379
-0.02860351710109116,-0.0415316614303253
-0.028577590998400168,-0.04150563677848663
